orth,phon,type,freq,log_freq
bare,/bAr/,#,29,3.433987204
barge,/barj/,REG,7,2.197224577
bark,/bark/,#,14,2.772588722
barn,/barn/,#,29,3.433987204
barre,/bar/,#,1,1.098612289
bas,/ba/,#,1,1.098612289
base,/bAs/,HRI,91,4.532599493
bash,/b@S/,#,1,1.098612289
bask,/b@sk/,#,1,1.098612289
bass,/bAs/,homg,16,2.890371758
bass,/b@s/,homg,16,2.890371758
baste,/bAst/,#,1,1.098612289
bat,/b@t/,#,18,2.995732274
batch,/b@C/,#,5,1.945910149
bate,/bAt/,#,1,1.098612289
bath,/b@T/,#,26,3.33220451
bathe,/bAD/,#,4,1.791759469
bay,/bA/,#,57,4.077537444
beach,/bEC/,#,61,4.143134726
bead,/bEd/,#,1,1.098612289
beak,/bEk/,#,1,1.098612289
beam,/bEm/,LEC,21,3.135494216
bean,/bEn/,#,5,1.945910149
bear,/bAr/,#,57,4.077537444
beard,/bErd/,#,26,3.33220451
beast,/bEst/,REG,7,2.197224577
beat,/bEt/,#,68,4.248495242
beau,/bO/,#,2,1.386294361
beck,/bek/,#,1,1.098612289
bed,/bed/,#,127,4.859812404
bee,/bE/,#,11,2.564949357
beech,/bEC/,#,6,2.079441542
beef,/bEf/,#,32,3.526360525
beek,/bEk/,#,1,1.098612289
been,/bin/,#,2472,7.813591553
beep,/bEp/,#,1,1.098612289
beer,/bEr/,#,34,3.583518938
beet,/bEt/,#,1,1.098612289
beg,/beg/,#,11,2.564949357
beige,/bAZ/,#,1,1.098612289
belch,/belC/,#,2,1.386294361
bell,/bel/,#,18,2.995732274
belle,/bel/,#,1,1.098612289
belt,/belt/,CON,29,3.433987204
bench,/benC/,#,35,3.610917913
bend,/bend/,#,24,3.258096538
bent,/bent/,#,34,3.583518938
berth,/burT/,#,4,1.791759469
best,/best/,HEC,351,5.866468057
bet,/bet/,#,20,3.091042453
bib,/bib/,#,2,1.386294361
bid,/bid/,#,22,3.17805383
bide,/bId/,#,1,1.098612289
big,/big/,HEC,360,5.891644212
bike,/bIk/,#,1,1.098612289
bile,/bIl/,#,3,1.609437912
bilge,/bilj/,#,2,1.386294361
bill,/bil/,#,143,4.976733742
bin,/bin/,#,9,2.397895273
bind,/bInd/,#,4,1.791759469
bing,/biN/,#,2,1.386294361
binge,/binj/,#,1,1.098612289
birch,/burC/,#,2,1.386294361
bird,/burd/,HFRIC,31,3.496507561
birth,/burT/,#,66,4.219507705
bit,/bit/,#,101,4.634728988
bitch,/biC/,#,6,2.079441542
bite,/bIt/,#,10,2.48490665
black,/bl@k/,#,203,5.323009979
blade,/blAd/,CON,13,2.708050201
blame,/blAm/,#,34,3.583518938
blanch,/bl@nC/,#,1,1.098612289
bland,/bl@nd/,#,3,1.609437912
blank,/bl@Nk/,#,14,2.772588722
blare,/blAr/,#,1,1.098612289
blast,/bl@st/,#,15,2.833213344
blaze,/blAz/,#,7,2.197224577
bleach,/blEC/,#,1,1.098612289
bleak,/blEk/,#,10,2.48490665
bleat,/blEt/,#,1,1.098612289
bled,/bled/,#,3,1.609437912
bleed,/blEd/,#,2,1.386294361
bleep,/blEp/,#,1,1.098612289
blend,/blend/,#,9,2.397895273
bless,/bles/,#,9,2.397895273
blest,/blest/,#,3,1.609437912
blew,/blU/,#,12,2.63905733
blight,/blIt/,#,2,1.386294361
blimp,/blimp/,#,1,1.098612289
blind,/blInd/,#,47,3.891820298
blink,/bliNk/,#,4,1.791759469
bliss,/blis/,#,4,1.791759469
blithe,/blID/,#,2,1.386294361
blitz,/blits/,#,3,1.609437912
bloat,/blOt/,#,8,2.302585093
blob,/blab/,#,2,1.386294361
bloc,/blak/,#,10,2.48490665
block,/blak/,#,66,4.219507705
bloke,/blOk/,#,1,1.098612289
blond,/bland/,#,11,2.564949357
blood,/bl^d/,#,121,4.812184355
bloom,/blUm/,#,12,2.63905733
blot,/blat/,#,6,2.079441542
blouse,/blWs/,#,1,1.098612289
blow,/blO/,#,33,3.555348061
blown,/blOn/,#,9,2.397895273
blue,/blU/,#,143,4.976733742
bluff,/bl^f/,#,8,2.302585093
blunt,/bl^nt/,#,9,2.397895273
blur,/blur/,#,3,1.609437912
blush,/bl^S/,#,2,1.386294361
boar,/bOr/,#,1,1.098612289
board,/bOrd/,#,239,5.484796933
boast,/bOst/,#,8,2.302585093
boat,/bOt/,#,72,4.304065093
bob,/bab/,#,40,3.737669618
bog,/bog/,#,1,1.098612289
boil,/bYl/,REG,12,2.63905733
bold,/bOld/,#,21,3.135494216
bolt,/bOlt/,#,10,2.48490665
bomb,/bam/,#,36,3.63758616
bond,/band/,#,46,3.871201011
bone,/bOn/,HRI,33,3.555348061
bong,/boN/,#,1,1.098612289
boo,/bU/,#,1,1.098612289
book,/buk/,#,193,5.272999559
boom,/bUm/,#,8,2.302585093
boon,/bUn/,#,3,1.609437912
boost,/bUst/,#,15,2.833213344
boot,/bUt/,#,13,2.708050201
booth,/bUT/,#,7,2.197224577
booze,/bUz/,#,4,1.791759469
bop,/bap/,#,1,1.098612289
bore,/bOr/,#,24,3.258096538
born,/bOrn/,#,113,4.744932128
borne,/bOrn/,#,8,2.302585093
boss,/bos/,#,20,3.091042453
both,/bOT/,HFE,730,6.595780514
bough,/bW/,#,2,1.386294361
bought,/bot/,#,56,4.060443011
bounce,/bWns/,#,8,2.302585093
bound,/bWnd/,#,42,3.784189634
bout,/bWt/,#,7,2.197224577
bow,/bO/,homg,15,2.833213344
bow,/bW/,homg,15,2.833213344
bowl,/bOl/,LFE,23,3.218875825
box,/baks/,#,70,4.276666119
boy,/bY/,#,242,5.497168225
brace,/brAs/,#,14,2.772588722
brad,/br@d/,#,1,1.098612289
brag,/br@g/,#,2,1.386294361
braid,/brAd/,RI,1,1.098612289
braille,/brAl/,#,1,1.098612289
brain,/brAn/,#,45,3.850147602
brake,/brAk/,#,2,1.386294361
bran,/br@n/,#,1,1.098612289
branch,/br@nC/,#,33,3.555348061
brand,/br@nd/,#,17,2.944438979
brash,/br@S/,#,1,1.098612289
brass,/br@s/,#,19,3.044522438
brat,/br@t/,#,1,1.098612289
brave,/brAv/,#,24,3.258096538
brawl,/brol/,#,1,1.098612289
brawn,/bron/,#,1,1.098612289
breach,/brEC/,#,6,2.079441542
bread,/bred/,#,41,3.761200116
breadth,/bredT/,#,7,2.197224577
break,/brAk/,HFE,88,4.49980967
breast,/brest/,#,11,2.564949357
breath,/breT/,#,53,4.007333185
breathe,/brED/,#,7,2.197224577
bred,/bred/,#,1,1.098612289
breed,/brEd/,#,17,2.944438979
breeze,/brEz/,#,14,2.772588722
brew,/brU/,#,4,1.791759469
bribe,/brIb/,#,1,1.098612289
brick,/brik/,#,18,2.995732274
bride,/brId/,#,33,3.555348061
bridge,/brij/,#,98,4.605170186
brief,/brEf/,#,73,4.317488114
brig,/brig/,#,2,1.386294361
bright,/brIt/,#,87,4.48863637
brim,/brim/,#,4,1.791759469
bring,/briN/,#,158,5.075173815
brink,/briNk/,#,3,1.609437912
brisk,/brisk/,LRIC,7,2.197224577
broach,/brOC/,#,1,1.098612289
broad,/brod/,LFE,84,4.454347296
broil,/brYl/,#,2,1.386294361
broke,/brOk/,LEC,72,4.304065093
bronze,/branz/,#,11,2.564949357
brooch,/brOC/,STR,1,1.098612289
brood,/brUd/,LFRI,9,2.397895273
brook,/bruk/,#,3,1.609437912
broom,/brUm/,#,2,1.386294361
broth,/broT/,#,3,1.609437912
brought,/brot/,HSTR,253,5.541263545
brow,/brW/,#,6,2.079441542
brown,/brWn/,#,176,5.18178355
bruise,/brUz/,#,3,1.609437912
brunt,/br^nt/,#,1,1.098612289
brush,/br^S/,#,44,3.828641396
brute,/brUt/,#,6,2.079441542
buck,/b^k/,#,20,3.091042453
bud,/b^d/,#,9,2.397895273
budge,/b^j/,#,3,1.609437912
buff,/b^f/,#,5,1.945910149
bug,/b^g/,#,4,1.791759469
build,/bild/,LSTR,86,4.477336814
built,/bilt/,#,103,4.65396035
bulb,/b^lb/,UNQ,7,2.197224577
bulge,/b^lj/,#,5,1.945910149
bulk,/b^lk/,#,16,2.890371758
bull,/bul/,#,14,2.772588722
bum,/b^m/,#,7,2.197224577
bump,/b^mp/,#,5,1.945910149
bun,/b^n/,#,1,1.098612289
bunch,/b^nC/,#,17,2.944438979
bunk,/b^Nk/,#,18,2.995732274
bunt,/b^nt/,#,3,1.609437912
burl,/burl/,#,2,1.386294361
burn,/burn/,#,15,2.833213344
burnt,/burnt/,UNQ,6,2.079441542
burr,/bur/,#,7,2.197224577
burst,/burst/,#,33,3.555348061
bus,/b^s/,LEC,34,3.583518938
bush,/buS/,LFE,14,2.772588722
buss,/b^s/,#,1,1.098612289
bust,/b^st/,#,7,2.197224577
but,/b^t/,HRI,4381,8.3854887
butt,/b^t/,#,12,2.63905733
butte,/byUt/,#,1,1.098612289
buy,/bI/,#,70,4.276666119
buzz,/b^z/,#,13,2.708050201
by,/bI/,HFRIC,5305,8.576781983
bye,/bI/,#,2,1.386294361
cab,/k@b/,#,12,2.63905733
cache,/k@S/,#,1,1.098612289
cad,/k@d/,#,1,1.098612289
cage,/kAj/,#,9,2.397895273
cake,/kAk/,#,13,2.708050201
calf,/k@f/,#,11,2.564949357
call,/kol/,#,188,5.247024072
calm,/kam/,#,35,3.610917913
calve,/k@v/,#,1,1.098612289
cam,/k@m/,#,1,1.098612289
came,/kAm/,HEC,622,6.436150368
camp,/k@mp/,#,75,4.343805422
can,/k@n/,#,1772,7.480992163
cane,/kAn/,LRIC,12,2.63905733
cant,/k@nt/,#,1,1.098612289
cap,/k@p/,#,27,3.36729583
cape,/kAp/,#,20,3.091042453
car,/kar/,#,274,5.620400866
card,/kard/,#,26,3.33220451
care,/kAr/,#,162,5.099866428
cart,/kart/,REG,5,1.945910149
carve,/karv/,REG,3,1.609437912
case,/kAs/,#,362,5.897153868
cash,/k@S/,#,36,3.63758616
cask,/k@sk/,#,1,1.098612289
cast,/k@st/,#,45,3.850147602
caste,/k@st/,EXC,3,1.609437912
cat,/k@t/,#,23,3.218875825
catch,/k@C/,HRI,43,3.80666249
caught,/kot/,#,98,4.605170186
cause,/koz/,#,130,4.882801923
cave,/kAv/,#,9,2.397895273
cease,/sEs/,#,15,2.833213344
cell,/sel/,#,65,4.204692619
cent,/sent/,#,158,5.075173815
chafe,/CAf/,#,1,1.098612289
chain,/CAn/,REG,50,3.951243719
chair,/CAr/,#,66,4.219507705
chaise,/CAz/,#,1,1.098612289
chalk,/Cok/,#,3,1.609437912
champ,/C@mp/,#,1,1.098612289
chance,/C@ns/,#,131,4.890349128
change,/CAnj/,#,240,5.488937726
chant,/C@nt/,#,2,1.386294361
chap,/C@p/,#,5,1.945910149
char,/Car/,#,1,1.098612289
charge,/Carj/,#,122,4.820281566
charm,/Carm/,#,26,3.33220451
chart,/Cart/,#,22,3.17805383
chase,/CAs/,#,18,2.995732274
chaste,/CAst/,#,1,1.098612289
chat,/C@t/,#,5,1.945910149
chaw,/Co/,#,1,1.098612289
cheap,/CEp/,#,24,3.258096538
cheat,/CEt/,#,3,1.609437912
check,/Cek/,#,88,4.49980967
cheek,/CEk/,#,20,3.091042453
cheep,/CEp/,#,1,1.098612289
cheer,/CEr/,#,8,2.302585093
cheese,/CEz/,#,9,2.397895273
chef,/Sef/,#,9,2.397895273
chess,/Ces/,#,3,1.609437912
chest,/Cest/,#,53,4.007333185
chew,/CU/,#,2,1.386294361
chic,/SEk/,#,7,2.197224577
chick,/Cik/,#,3,1.609437912
chide,/CId/,#,2,1.386294361
chief,/CEf/,HSTR,119,4.795790546
child,/CIld/,#,213,5.370638028
chill,/Cil/,#,14,2.772588722
chime,/CIm/,REG,1,1.098612289
chin,/Cin/,#,27,3.36729583
chip,/Cip/,#,17,2.944438979
chive,/CIv/,#,1,1.098612289
choice,/CYs/,#,113,4.744932128
choir,/kwIr/,STR,8,2.302585093
choke,/COk/,#,9,2.397895273
chomp,/Camp/,#,1,1.098612289
choose,/CUz/,HFE,50,3.951243719
chop,/Cap/,#,3,1.609437912
chord,/kOrd/,#,7,2.197224577
chore,/COr/,REG,7,2.197224577
chose,/COz/,#,37,3.663561646
chow,/CW/,#,2,1.386294361
christ,/krIst/,#,97,4.59511985
chrome,/krOm/,#,4,1.791759469
chuck,/C^k/,#,14,2.772588722
chum,/C^m/,#,1,1.098612289
chump,/C^mp/,#,1,1.098612289
chunk,/C^Nk/,#,2,1.386294361
church,/CurC/,HSTR,348,5.857933154
churn,/Curn/,#,1,1.098612289
chute,/SUt/,STR,2,1.386294361
cinch,/sinC/,#,3,1.609437912
cite,/sIt/,#,7,2.197224577
clad,/kl@d/,#,7,2.197224577
claim,/klAm/,#,98,4.605170186
clam,/kl@m/,#,3,1.609437912
clamp,/kl@mp/,#,1,1.098612289
clan,/kl@n/,#,2,1.386294361
clang,/kl@N/,LRIC,1,1.098612289
clap,/kl@p/,#,1,1.098612289
clash,/kl@S/,#,5,1.945910149
class,/kl@s/,HEC,207,5.342334252
clause,/kloz/,#,9,2.397895273
claw,/klo/,REG,1,1.098612289
clay,/klA/,#,100,4.624972813
clean,/klEn/,HFRIC,70,4.276666119
clear,/klEr/,#,219,5.398162702
cleat,/klEt/,#,1,1.098612289
cleft,/kleft/,#,2,1.386294361
clench,/klenC/,#,1,1.098612289
clerk,/klurk/,EXPT,34,3.583518938
click,/klik/,CON,2,1.386294361
cliff,/klif/,#,11,2.564949357
climb,/klIm/,STREXPT,12,2.63905733
clinch,/klinC/,#,2,1.386294361
cling,/kliN/,#,6,2.079441542
clink,/kliNk/,#,1,1.098612289
clip,/klip/,#,6,2.079441542
cloak,/klOk/,#,3,1.609437912
clock,/klak/,CON,20,3.091042453
clod,/klad/,#,1,1.098612289
clog,/klog/,#,2,1.386294361
clone,/klOn/,#,1,1.098612289
clop,/klap/,#,1,1.098612289
close,/klOs/,#,234,5.463831805
clot,/klat/,#,3,1.609437912
cloth,/kloT/,#,43,3.80666249
clothe,/klOD/,#,1,1.098612289
clots,/klats/,#,1,1.098612289
cloud,/klWd/,#,28,3.401197382
clout,/klWt/,#,1,1.098612289
clove,/klOv/,#,1,1.098612289
clown,/klWn/,#,3,1.609437912
club,/kl^b/,#,145,4.990432587
cluck,/kl^k/,#,3,1.609437912
clue,/klU/,#,15,2.833213344
clump,/kl^mp/,#,4,1.791759469
clung,/kl^N/,#,14,2.772588722
clutch,/kl^C/,#,5,1.945910149
coach,/kOC/,#,24,3.258096538
coal,/kOl/,#,32,3.526360525
coarse,/kOrs/,#,10,2.48490665
coast,/kOst/,#,61,4.143134726
coat,/kOt/,#,43,3.80666249
coax,/kOks/,#,1,1.098612289
cock,/kak/,#,5,1.945910149
cod,/kad/,#,6,2.079441542
code,/kOd/,LRIC,40,3.737669618
coil,/kYl/,#,6,2.079441542
coin,/kYn/,#,10,2.48490665
coke,/kOk/,CON,4,1.791759469
cold,/kOld/,#,171,5.153291594
cole,/kOl/,#,1,1.098612289
colt,/kOlt/,#,18,2.995732274
comb,/kOm/,EXPT,6,2.079441542
come,/k^m/,HFE,630,6.448889394
con,/kan/,#,7,2.197224577
cone,/kOn/,#,13,2.708050201
cook,/kuk/,LFRI,47,3.891820298
cool,/kUl/,HRI,62,4.158883083
coop,/kUp/,#,3,1.609437912
cop,/kap/,#,15,2.833213344
cope,/kOp/,LRIC,21,3.135494216
cord,/kOrd/,LFRI,6,2.079441542
core,/kOr/,#,37,3.663561646
cork,/kOrk/,#,9,2.397895273
corn,/kOrn/,HFRIC,34,3.583518938
corps,/kOr/,HSTR,109,4.709530201
corpse,/kOrps/,#,7,2.197224577
cost,/kost/,#,229,5.442417711
cot,/kat/,#,1,1.098612289
couch,/kWC/,#,12,2.63905733
cough,/kof/,#,7,2.197224577
could,/kud/,#,1599,7.378383713
count,/kWnt/,#,49,3.931825633
coup,/kU/,#,4,1.791759469
coupe,/kUp/,#,2,1.386294361
course,/kOrs/,#,465,6.146329258
court,/kOrt/,UNQ,230,5.446737372
cove,/kOv/,LFRI,2,1.386294361
cow,/kW/,#,29,3.433987204
cowl,/kWl/,#,1,1.098612289
cox,/kaks/,#,5,1.945910149
coy,/kY/,#,4,1.791759469
crab,/kr@b/,#,1,1.098612289
crack,/kr@k/,#,21,3.135494216
craft,/kr@ft/,#,23,3.218875825
crag,/kr@g/,#,1,1.098612289
cram,/kr@m/,#,1,1.098612289
cramp,/kr@mp/,LFRI,2,1.386294361
crane,/krAn/,#,5,1.945910149
crank,/kr@Nk/,#,1,1.098612289
crap,/kr@p/,#,3,1.609437912
crash,/kr@S/,#,20,3.091042453
crass,/kr@s/,#,2,1.386294361
crate,/krAt/,#,2,1.386294361
crave,/krAv/,#,2,1.386294361
crawl,/krol/,#,11,2.564949357
craze,/krAz/,#,2,1.386294361
creak,/krEk/,#,1,1.098612289
cream,/krEm/,#,20,3.091042453
crease,/krEs/,#,1,1.098612289
creche,/kreS/,#,1,1.098612289
creed,/krEd/,#,8,2.302585093
creek,/krEk/,#,14,2.772588722
creep,/krEp/,#,10,2.48490665
crepe,/krAp/,#,1,1.098612289
crept,/krept/,#,11,2.564949357
crest,/krest/,#,12,2.63905733
crew,/krU/,#,36,3.63758616
crib,/krib/,#,5,1.945910149
crime,/krIm/,#,34,3.583518938
crisp,/krisp/,#,8,2.302585093
croak,/krOk/,#,1,1.098612289
crock,/krak/,#,1,1.098612289
crone,/krOn/,#,2,1.386294361
crook,/kruk/,#,3,1.609437912
croon,/krUn/,#,1,1.098612289
crop,/krap/,#,20,3.091042453
cross,/kros/,#,55,4.043051268
crouch,/krWC/,#,7,2.197224577
crow,/krO/,#,2,1.386294361
crowd,/krWd/,#,53,4.007333185
crown,/krWn/,#,19,3.044522438
crude,/krUd/,#,15,2.833213344
cruise,/krUz/,#,2,1.386294361
crumb,/kr^m/,#,3,1.609437912
crunch,/kr^nC/,#,2,1.386294361
crush,/kr^S/,#,4,1.791759469
crust,/kr^st/,#,1,1.098612289
crutch,/kr^C/,#,1,1.098612289
crux,/kr^ks/,#,2,1.386294361
cry,/krI/,#,48,3.912023005
crypt,/kript/,#,1,1.098612289
cub,/k^b/,REG,1,1.098612289
cube,/kyUb/,#,1,1.098612289
cud,/k^d/,#,1,1.098612289
cue,/kyU/,#,1,1.098612289
cuff,/k^f/,#,1,1.098612289
cull,/k^l/,#,1,1.098612289
cult,/k^lt/,#,11,2.564949357
cup,/k^p/,#,45,3.850147602
cur,/kur/,#,1,1.098612289
curb,/kurb/,#,13,2.708050201
curd,/kurd/,#,2,1.386294361
cure,/kyur/,#,28,3.401197382
curl,/kurl/,#,2,1.386294361
curse,/kurs/,#,11,2.564949357
curt,/kurt/,#,32,3.526360525
curve,/kurv/,UNQ,45,3.850147602
cusp,/k^sp/,UNQ,2,1.386294361
cut,/k^t/,#,192,5.267858159
cute,/kyUt/,#,5,1.945910149
cyst,/sist/,#,1,1.098612289
czar,/zar/,#,1,1.098612289
dad,/d@d/,#,15,2.833213344
dale,/dAl/,#,5,1.945910149
dam,/d@m/,#,5,1.945910149
dame,/dAm/,#,7,2.197224577
damn,/d@m/,#,34,3.583518938
damp,/d@mp/,#,16,2.890371758
dance,/d@ns/,#,90,4.521788577
dane,/dAn/,#,2,1.386294361
dang,/d@N/,#,1,1.098612289
dank,/d@Nk/,#,1,1.098612289
dare,/dAr/,LFRI,21,3.135494216
dark,/dark/,HEC,185,5.231108617
darn,/darn/,#,3,1.609437912
dart,/dart/,#,1,1.098612289
dash,/d@S/,#,11,2.564949357
date,/dAt/,#,103,4.65396035
daunt,/dont/,#,1,1.098612289
dawn,/don/,#,28,3.401197382
day,/dA/,#,686,6.533788838
days,/dAz/,HRI,1,1.098612289
daze,/dAz/,#,1,1.098612289
dead,/ded/,#,174,5.170483995
deaf,/def/,LFE,12,2.63905733
deal,/dEl/,#,142,4.9698133
dealt,/delt/,#,22,3.17805383
dean,/dEn/,#,40,3.737669618
dear,/dEr/,HRI,54,4.025351691
dearth,/durT/,#,3,1.609437912
death,/deT/,#,277,5.631211782
debt,/det/,LSTR,13,2.708050201
deck,/dek/,#,23,3.218875825
deed,/dEd/,LEC,8,2.302585093
deem,/dEm/,#,1,1.098612289
deep,/dEp/,#,109,4.709530201
deer,/dEr/,#,13,2.708050201
deft,/deft/,#,2,1.386294361
dell,/del/,#,5,1.945910149
den,/den/,#,2,1.386294361
dense,/dens/,#,9,2.397895273
dent,/dent/,#,2,1.386294361
depth,/depT/,#,53,4.007333185
desk,/desk/,#,65,4.204692619
dew,/dU/,#,3,1.609437912
dial,/dIl/,#,1,1.098612289
dice,/dIs/,CON,14,2.772588722
dick,/dik/,#,18,2.995732274
did,/did/,HEC,1044,6.952728645
die,/dI/,#,73,4.317488114
died,/dId/,#,1,1.098612289
dig,/dig/,#,10,2.48490665
dike,/dIk/,REG,1,1.098612289
dill,/dil/,#,12,2.63905733
dim,/dim/,#,19,3.044522438
dime,/dIm/,LRIC,4,1.791759469
din,/din/,#,1,1.098612289
dine,/dIn/,#,2,1.386294361
dint,/dint/,#,1,1.098612289
dip,/dip/,#,6,2.079441542
dire,/dIr/,#,1,1.098612289
dirge,/durj/,#,2,1.386294361
dirt,/durt/,#,43,3.80666249
disc,/disk/,#,6,2.079441542
dish,/diS/,#,16,2.890371758
disk,/disk/,#,25,3.295836866
ditch,/diC/,#,10,2.48490665
dive,/dIv/,#,23,3.218875825
do,/dU/,HFE,1363,7.218909708
dock,/dak/,REG,8,2.302585093
dodge,/daj/,#,11,2.564949357
doe,/dO/,#,1,1.098612289
does,/d^z/,HFE,485,6.188264123
dog,/dog/,REG,75,4.343805422
dole,/dOl/,#,1,1.098612289
doll,/dal/,LFE,10,2.48490665
dome,/dOm/,#,17,2.944438979
done,/d^n/,HFE,320,5.774551546
doom,/dUm/,#,3,1.609437912
door,/dOr/,#,312,5.749392986
dope,/dOp/,#,2,1.386294361
dork,/dOrk/,#,1,1.098612289
dorm,/dOrm/,#,1,1.098612289
dose,/dOs/,#,11,2.564949357
dost,/d^st/,#,1,1.098612289
dot,/dat/,#,13,2.708050201
dots,/dats/,LEC,1,1.098612289
doubt,/dWt/,HSTRUNQ,114,4.753590191
dough,/dO/,EXPT,13,2.708050201
dour,/dWr/,#,2,1.386294361
douse,/dWs/,#,1,1.098612289
dove,/dOv/,homg,4,1.791759469
dove,/d^v/,homg,4,1.791759469
dow,/dW/,#,4,1.791759469
down,/dWn/,#,895,6.799055862
drab,/dr@b/,#,5,1.945910149
draft,/dr@ft/,#,24,3.258096538
drag,/dr@g/,#,15,2.833213344
drain,/drAn/,CON,18,2.995732274
drake,/drAk/,#,2,1.386294361
dram,/dr@m/,#,1,1.098612289
drank,/dr@Nk/,#,19,3.044522438
drape,/drAp/,#,1,1.098612289
draught,/dr@ft/,#,1,1.098612289
draw,/dro/,HFRIC,56,4.060443011
drawl,/drol/,LSTR,2,1.386294361
drawn,/dron/,#,70,4.276666119
dread,/dred/,#,9,2.397895273
dream,/drEm/,#,64,4.189654742
dreamt,/dremt/,#,1,1.098612289
dress,/dres/,#,67,4.234106505
drew,/drU/,#,68,4.248495242
dried,/drId/,#,28,3.401197382
drift,/drift/,#,18,2.995732274
drill,/dril/,#,33,3.555348061
drink,/driNk/,#,82,4.430816799
drip,/drip/,#,1,1.098612289
drive,/drIv/,#,105,4.672828834
drone,/drOn/,#,3,1.609437912
drool,/drUl/,#,1,1.098612289
droop,/drUp/,#,1,1.098612289
drop,/drap/,#,59,4.110873864
dross,/dros/,#,4,1.791759469
drought,/drWt/,#,5,1.945910149
drove,/drOv/,#,62,4.158883083
drown,/drWn/,#,3,1.609437912
drugs,/dr^gz/,REG,1,1.098612289
drum,/dr^m/,#,11,2.564949357
drunk,/dr^Nk/,#,37,3.663561646
dry,/drI/,#,68,4.248495242
dub,/d^b/,#,1,1.098612289
duck,/d^k/,#,9,2.397895273
duct,/d^kt/,UNQ,1,1.098612289
dud,/d^d/,#,1,1.098612289
due,/dU/,#,142,4.9698133
duel,/dUl/,#,1,1.098612289
dug,/d^g/,#,15,2.833213344
duke,/dUk/,#,11,2.564949357
dull,/d^l/,#,27,3.36729583
dumb,/d^m/,#,13,2.708050201
dump,/d^mp/,#,4,1.791759469
dun,/d^n/,#,1,1.098612289
dune,/dUn/,#,1,1.098612289
dung,/d^N/,#,2,1.386294361
dunk,/d^Nk/,#,1,1.098612289
dusk,/d^sk/,#,9,2.397895273
dust,/d^st/,HFRIC,70,4.276666119
dwarf,/dwOrf/,#,3,1.609437912
dwell,/dwel/,#,8,2.302585093
dwelt,/dwelt/,#,1,1.098612289
dyke,/dIk/,LSTR,1,1.098612289
each,/EC/,#,877,6.778784898
ear,/Er/,#,29,3.433987204
earl,/url/,#,12,2.63905733
earn,/urn/,#,16,2.890371758
earth,/urT/,#,150,5.023880521
ease,/Ez/,#,42,3.784189634
east,/Est/,#,183,5.220355825
eat,/Et/,#,61,4.143134726
eave,/Ev/,#,1,1.098612289
ebb,/eb/,#,1,1.098612289
edge,/ej/,#,78,4.382026635
eel,/El/,#,2,1.386294361
egg,/eg/,LSTR,12,2.63905733
eight,/At/,#,104,4.663439094
eighth,/AtT/,#,23,3.218875825
elk,/elk/,#,1,1.098612289
elm,/elm/,#,3,1.609437912
else,/els/,#,176,5.18178355
end,/end/,#,410,6.021023349
err,/ur/,#,1,1.098612289
eve,/Ev/,#,19,3.044522438
ewe,/yU/,#,1,1.098612289
face,/fAs/,#,371,5.92157842
fact,/f@kt/,HEC,447,6.107022888
fad,/f@d/,#,2,1.386294361
fade,/fAd/,LEC,2,1.386294361
fail,/fAl/,#,37,3.663561646
faint,/fAnt/,#,25,3.295836866
fair,/fAr/,#,77,4.369447852
faith,/fAT/,#,111,4.727387819
